n_side,dimension,rtol,backend,median_s,iqr_s,iqr_pct,cpu_time_median_s,error_inf,matvecs,nonlinear_evals,auto_last_selected
64,4096,1e-07,kiops,0.11989705950000001,0.0003583239999999932,0.2988597063967137,0.1199005025,7.005017177430517e-09,542.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
64,4096,1e-07,leja,0.1503139645,0.0003352337499999969,0.2230223593098011,0.15025172650000002,6.997440127332055e-09,884.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
64,4096,1e-07,hybrid,0.1288304855,0.00020757249999997507,0.16112063786329134,0.1288253165,7.005017191308305e-09,400.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
64,4096,1e-07,auto,0.15385933000000002,0.0005254919999999885,0.341540548759694,0.15385461700000003,6.997440127332055e-09,884.0,29.0,leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja
64,4096,1e-05,kiops,0.05057117650000001,0.000152373500000004,0.30130503291732585,0.05057415650000001,1.4559524026680482e-07,226.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
64,4096,1e-05,leja,0.064959354,0.000371307500000001,0.5715997422018714,0.0649557385,1.456638039631919e-07,382.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
64,4096,1e-05,hybrid,0.056433194500000006,0.0003121234999999972,0.553084940105592,0.05643611950000001,1.455952403917049e-07,170.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
64,4096,1e-05,auto,0.06679143550000001,0.0002851942500000093,0.42699224513599393,0.0667904735,1.456638039631919e-07,382.0,13.0,leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja
128,16384,1e-07,kiops,0.4822849095,0.0027541919999999886,0.5710715690555913,0.4821358955,7.0014513214866625e-09,542.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
128,16384,1e-07,leja,0.5202833550000001,0.0026963654999999642,0.5182494258344982,0.520268861,6.963055201869572e-09,1109.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
128,16384,1e-07,hybrid,0.5033562995,0.0029197729999999034,0.5800608838908359,0.5033429110000001,7.0014514602645406e-09,400.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
128,16384,1e-07,auto,0.5283680245,0.0020283159999999745,0.38388318481599837,0.5283526890000001,6.963055201869572e-09,1109.0,29.0,leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja
128,16384,1e-05,kiops,0.2018385215,0.0013009015000000346,0.6445258765929053,0.20182832950000001,1.455207640638223e-07,226.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
128,16384,1e-05,leja,0.22414976550000001,0.0007871302499999899,0.35116264710077955,0.22414309400000001,1.4530000817802868e-07,477.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
128,16384,1e-05,hybrid,0.22307445050000002,0.0007631047499999932,0.3420852313160772,0.22306954350000002,1.4552078130003476e-07,170.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
128,16384,1e-05,auto,0.22820184050000003,0.0002712804999999985,0.11887743736229789,0.228198215,1.4530000817802868e-07,477.0,13.0,leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja
256,65536,1e-07,kiops,2.1476609665,0.010333047499999637,0.4811302929642194,2.1475609655000003,7.000549751001728e-09,558.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
256,65536,1e-07,leja,3.1474110375000004,0.010250892250000199,0.3256928354087021,3.1471601760000003,6.991665163491589e-09,1720.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
256,65536,1e-07,hybrid,2.67565956,0.01775471950000007,0.6635642204047839,2.6755446955,7.000557772363081e-09,420.0,29.0,None;None;None;None;None;None;None;None;None;None;None;None
256,65536,1e-07,auto,3.191524541,0.013576222999999388,0.4253836317281004,3.1914255320000002,6.991665163491589e-09,1720.0,29.0,leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja
256,65536,1e-05,kiops,0.9760560660000002,0.005536570000000074,0.5672389315390078,0.976014307,1.4560417592457409e-07,247.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
256,65536,1e-05,leja,1.4148165845,0.012987425000000163,0.9179582104340369,1.414771304,1.397227120947253e-07,768.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
256,65536,1e-05,hybrid,1.3326043295,0.00800274600000006,0.600534293851704,1.3325564165000001,1.455626877505667e-07,180.0,13.0,None;None;None;None;None;None;None;None;None;None;None;None
256,65536,1e-05,auto,1.4231998155,0.006297039500000157,0.44245645842694786,1.4229951550000002,1.397227120947253e-07,768.0,13.0,leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja;leja
